Times,Rider,Country
122,Giacomo Agostini,IT
115,Valentino Rossi,IT
90,Angel Nieto,ES
85,Marc Marquez,ES
76,Mike Hailwood,GB
68,Jorge Lorenzo,ES
54,Mick Doohan,AU
54,Dani Pedrosa,ES
52,Phil Read,GB
45,Casey Stoner,AU
45,Jim Redman,
42,Max Biaggi,IT
42,Anton Mang,DE
39,Carlo Ubbiali,IT
38,John Surtees,GB
37,Jorge Martinez,ES
34,Luca Cadalora,IT
33,Geoff Duke,GB
31,Eddie Lawson,US
31,Kork Ballington,ZA
30,Luigi Taveri,CH
29,Loris Capirossi,IT
27,Pierpaolo Bianchi,IT
27,Freddie Spencer,US
27,Eugenio Lazzarini,IT
25,Hugh Anderson,NZ
25,Maverick Viñales,ES
25,Kevin Schwantz,US
24,Kenny Roberts,US
24,Andrea Dovizioso,IT
24,Wayne Rainey,US
24,Walter Villa,IT
23,Barry Sheene,GB
22,Marco Melandri,IT
21,Bill Ivy,GB
21,Fausto Gresini,IT
20,Ralf Waldmann,DE
20,Tarquinio Provini,IT
20,Alex Criville,ES
19,Gary Hocking,
19,Ricardo Tormo,ES
19,Carlos Lavado,VE
18,Kent Andersson,SE
18,Stefan Dörflinger,CH
18,Wayne Gardner,AU
17,Toni Elias,ES
17,Brad Binder,ZA
17,Daijiro Kato,JP
17,Thomas Luthi,CH
17,Tetsuya Harada,JP
16,Alvaro Bautista,ES
16,Miguel Oliveira,PT
16,Mika Kallio,FI
16,Nicolas Terol,ES
16,Johann Zarco,FR
15,Pol Espargaro,ES
15,Sito Pons,ES
15,Ernst Degner,DE
15,Jarno Saarinen,FI
15,Alex Rins,ES
14,Francesco Bagnaia,IT
14,Jan De Vries,NL
14,Johnny Cecotto,VE
14,Hans-Georg Anscheidt,DE
14,Dieter Braun,DE
14,Marco Simoncelli,IT
14,Dirk Raudies,DE
13,John Kocinski,US
13,Randy Mamola,US
13,Tito Rabat,ES
13,Andrea Iannone,IT
13,Noboru Ueda,JP
13,Romano Fenati,IT
12,Alex Marquez,ES
12,Mattia Pasini,IT
12,Fergus Anderson,GB
12,Joan Mir,ES
12,Manuel Poggiali,SM
11,Kazuto Sakata,JP
11,Jorge Martin,ES
11,Youichi Ui,JP
11,Takazumi Katayama,JP
11,Franco Morbidelli,IT
11,Dave Simmonds,GB
11,Werner Haas,DE
10,Hector Barbera,ES
10,Raul Fernandez,ES
10,Greg Hansford,AU
10,Rodney Gould,GB
10,Masao Azuma,JP
10,Ralph Bryans,IE
9,Fabio Quartararo,FR
9,Sete Gibernau,ES
9,Bill Lomas,GB
9,Haruchika Aoki,JP
9,Gabor Talmacsi,HU
9,Ezio Gianola,IT
9,Luis Salom,ES
9,Jack Miller,AU
9,Roberto Locatelli,IT
9,Hiroshi Aoyama,JP
9,Sam Lowes,GB
9,Hans Spaan,NL
8,Enea Bastianini,IT
8,Teuvo Lansivuori,FI
8,Hector Faubel,ES
8,Loris Reggiani,IT
8,Leslie Graham,GB
8,Danny Kent,GB
8,Kenny Roberts Jr,US
8,Julian Simon,ES
8,Paolo Pileri,IT
7,Christian Sarron,FR
7,Enrico Lorenzetti,IT
7,Franco Uncini,IT
7,Dennis Foggia,IT
