Times,Rider,Country
117,Giacomo Agostini,IT
96,Valentino Rossi,IT
81,Angel Nieto,ES
79,Mike Hailwood,GB
75,Marc Marquez,ES
64,Dani Pedrosa,ES
46,Mick Doohan,AU
42,Max Biaggi,IT
37,Jorge Lorenzo,ES
36,Phil Read,GB
35,Jim Redman,
34,John Surtees,GB
34,Carlo Ubbiali,IT
33,Casey Stoner,AU
32,Loris Capirossi,IT
30,Luca Cadalora,IT
29,Bill Ivy,GB
29,Geoff Duke,GB
28,Luigi Taveri,CH
27,Kenny Roberts,US
26,Anton Mang,DE
26,Kevin Schwantz,US
26,Tarquinio Provini,IT
25,Pierpaolo Bianchi,IT
25,Hugh Anderson,NZ
24,Freddie Spencer,US
23,Wayne Rainey,US
22,Andrea Dovizioso,IT
22,Alvaro Bautista,ES
22,Maverick Viñales,ES
21,Tetsuya Harada,JP
21,Eddie Lawson,US
21,Gary Hocking,
20,Barry Sheene,GB
20,Walter Villa,IT
20,Alex Criville,ES
19,Kazuto Sakata,JP
19,Johann Zarco,FR
19,Thomas Luthi,CH
19,Alex De Angelis,SM
19,Wayne Gardner,AU
18,Jarno Saarinen,FI
17,Alex Rins,ES
17,Alex Marquez,ES
17,Andrea Iannone,IT
16,Marco Melandri,IT
16,Kork Ballington,ZA
16,Pol Espargaro,ES
16,Ralf Waldmann,DE
15,Eugenio Lazzarini,IT
15,Romano Fenati,IT
15,John Kocinski,US
14,Bill Lomas,GB
14,Alex Barros,BR
14,Franco Morbidelli,IT
13,Ernst Degner,DE
13,Fausto Gresini,IT
13,Jan De Vries,NL
13,Carlos Lavado,VE
12,Miguel Oliveira,PT
12,Hans-Georg Anscheidt,DE
12,Miguel Oliveira,PT
12,Julian Simon,ES
12,Fergus Anderson,GB
12,Brad Binder,ZA
12,Mika Kallio,FI
12,Randy Mamola,US
12,Masao Azuma,JP
12,Teuvo Lansivuori,FI
12,Sito Pons,ES
11,Noboru Ueda,JP
11,Hiroshi Aoyama,JP
11,Juan Garriga,ES
11,Daijiro Kato,JP
11,Francesco Bagnaia,IT
11,Jorge Martinez,ES
11,Fabio Quartararo,FR
11,Werner Haas,DE
11,Sandro Cortese,DE
11,Tito Rabat,ES
10,Hector Barbera,ES
10,Ezio Gianola,IT
10,Christian Sarron,FR
10,Roberto Locatelli,IT
10,Aron Canet,ES
10,Lucio Cecchinello,IT
10,Jaume Masia,ES
10,Dieter Braun,DE
9,Ray Amm,
9,Marco Simoncelli,IT
9,Gabor Talmacsi,HU
9,Olivier Jacque,FR
9,Shinya Nakano,JP
9,Marco Lucchinelli,IT
9,Bob Mcintyre,GB
9,Kent Andersson,SE
9,Tom Phillis,AU
9,Dirk Raudies,DE
9,Hector Faubel,ES
9,Youichi Ui,JP
9,Youichi Ui,JP
9,Kenny Roberts Jr,US
8,Raul Fernandez,ES
8,Rodney Gould,GB
8,Loris Reggiani,IT
8,Sete Gibernau,ES
8,Jorge Martin,ES
8,Enea Bastianini,IT
8,Stefano Perugini,IT
8,Eric Granado,BR
8,Jonas Folger,DE
8,Gilberto Parlotti,IT
8,Sebastian Porto,AR
8,Tadayuki Okada,JP
8,Otello Buscherini,IT
8,Kel Carruthers,AU
8,Nicolas Terol,ES
8,Guy Bertin,FR
8,Martin Wimmer,DE
7,August Auinger,AT
7,Luis Salom,ES
7,Tomomi Manako,JP
7,Renzo Pasolini,IT
7,Joan Mir,ES
7,August Auinger,AT
7,Ralph Bryans,IE
7,Fonsi Nieto,ES
7,Leslie Graham,GB
7,Peter Oettl,DE
7,Manuel Poggiali,SM
7,Johnny Cecotto,VE
7,Nicky Hayden,US
6,Thierry Espié,FR
6,Mattia Pasini,IT
6,Sergio Gadea,ES
