Season,Rider,Country,Constructor,Class
2021,Fabio Quartararo,FR,Yamaha,MotoGP™
2021,Remy Gardner,AU,Kalex,Moto2™
2021,Pedro Acosta,ES,KTM,Moto3™
2021,Jordi Torres,ES,Energica,MotoE™
2020,Joan Mir,ES,Suzuki,MotoGP™
2020,Enea Bastianini,IT,Kalex,Moto2™
2020,Albert Arenas,ES,KTM,Moto3™
2020,Jordi Torres,ES,Energica,MotoE™
2019,Marc Marquez,ES,Honda,MotoGP™
2019,Alex Marquez,ES,Kalex,Moto2™
2019,Lorenzo Dalla Porta,IT,Honda,Moto3™
2019,Matteo Ferrari,IT,Energica,MotoE™
2018,Marc Marquez,ES,Honda,MotoGP™
2018,Francesco Bagnaia,IT,Kalex,Moto2™
2018,Jorge Martin,ES,Honda,Moto3™
2017,Marc Marquez,ES,Honda,MotoGP™
2017,Franco Morbidelli,IT,Kalex,Moto2™
2017,Joan Mir,ES,Honda,Moto3™
2016,Marc Marquez,ES,Honda,MotoGP™
2016,Johann Zarco,FR,Kalex,Moto2™
2016,Brad Binder,ZA,KTM,Moto3™
2015,Jorge Lorenzo,ES,Yamaha,MotoGP™
2015,Johann Zarco,FR,Kalex,Moto2™
2015,Danny Kent,GB,Honda,Moto3™
2014,Marc Marquez,ES,Honda,MotoGP™
2014,Tito Rabat,ES,Kalex,Moto2™
2014,Alex Marquez,ES,Honda,Moto3™
2013,Marc Marquez,ES,Honda,MotoGP™
2013,Pol Espargaro,ES,Kalex,Moto2™
2013,Maverick Viñales,ES,KTM,Moto3™
2012,Jorge Lorenzo,ES,Yamaha,MotoGP™
2012,Marc Marquez,ES,Suter,Moto2™
2012,Sandro Cortese,DE,KTM,Moto3™
2011,Casey Stoner,AU,Honda,MotoGP™
2011,Stefan Bradl,DE,Kalex,Moto2™
2011,Nicolas Terol,ES,Aprilia,125cc
2010,Jorge Lorenzo,ES,Yamaha,MotoGP™
2010,Toni Elias,ES,Moriwaki,Moto2™
2010,Marc Marquez,ES,Derbi,125cc
2009,Valentino Rossi,IT,Yamaha,MotoGP™
2009,Hiroshi Aoyama,JP,Honda,250cc
2009,Julian Simon,ES,Aprilia,125cc
2008,Valentino Rossi,IT,Yamaha,MotoGP™
2008,Marco Simoncelli,IT,Gilera,250cc
2008,Mike Di Meglio,FR,Derbi,125cc
2007,Casey Stoner,AU,Ducati,MotoGP™
2007,Jorge Lorenzo,ES,Aprilia,250cc
2007,Gabor Talmacsi,HU,Aprilia,125cc
2005,Valentino Rossi,IT,Yamaha,MotoGP™
2005,Dani Pedrosa,ES,Honda,250cc
2005,Thomas Luthi,CH,Honda,125cc
2004,Valentino Rossi,IT,Yamaha,MotoGP™
2004,Dani Pedrosa,ES,Honda,250cc
2004,Andrea Dovizioso,IT,Honda,125cc
2003,Valentino Rossi,IT,Honda,MotoGP™
2003,Manuel Poggiali,SM,Aprilia,250cc
2003,Dani Pedrosa,ES,Honda,125cc
2002,Valentino Rossi,IT,Honda,MotoGP™
2002,Marco Melandri,IT,Aprilia,250cc
2002,Arnaud Vincent,FR,Aprilia,125cc
2001,Valentino Rossi,IT,Honda,MotoGP™
2001,Daijiro Kato,JP,Honda,250cc
2001,Manuel Poggiali,SM,Gilera,125cc
2000,Kenny Roberts Jr,US,Suzuki,MotoGP™
2000,Olivier Jacque,FR,Yamaha,250cc
2000,Roberto Locatelli,IT,Aprilia,125cc
1999,Alex Criville,ES,Honda,MotoGP™
1999,Valentino Rossi,IT,Aprilia,250cc
1999,Emilio Alzamora,ES,Honda,125cc
1998,Mick Doohan,AU,Honda,MotoGP™
1998,Loris Capirossi,IT,Aprilia,250cc
1998,Kazuto Sakata,JP,Honda,125cc
1997,Mick Doohan,AU,Honda,MotoGP™
1997,Max Biaggi,IT,Honda,250cc
1997,Valentino Rossi,IT,Aprilia,125cc
1996,Mick Doohan,AU,Honda,MotoGP™
1996,Max Biaggi,IT,Aprilia,250cc
1996,Haruchika Aoki,JP,Honda,125cc
1995,Mick Doohan,AU,Honda,MotoGP™
1995,Max Biaggi,IT,Aprilia,250cc
1995,Haruchika Aoki,JP,Honda,125cc
1994,Mick Doohan,AU,Honda,MotoGP™
1994,Max Biaggi,IT,Aprilia,250cc
1994,Kazuto Sakata,JP,Aprilia,125cc
1993,Kevin Schwantz,US,Suzuki,MotoGP™
1993,Tetsuya Harada,JP,Yamaha,250cc
1993,Dirk Raudies,DE,Honda,125cc
1992,Wayne Rainey,US,Yamaha,MotoGP™
1992,Luca Cadalora,IT,Honda,250cc
1992,Alessandro Gramigni,IT,Aprilia,125cc
1991,Wayne Rainey,US,Yamaha,MotoGP™
1991,Luca Cadalora,IT,Honda,250cc
1991,Loris Capirossi,IT,Honda,125cc
1990,Wayne Rainey,US,Yamaha,MotoGP™
1990,John Kocinski,US,Yamaha,250cc
1990,Loris Capirossi,IT,Honda,125cc
1989,Eddie Lawson,US,Honda,MotoGP™
1989,Sito Pons,ES,Honda,250cc
1989,Alex Criville,ES,JJ Cobas,125cc
1989,Manuel Herreros,ES,Derbi,80cc
1988,Eddie Lawson,US,Yamaha,MotoGP™
1988,Sito Pons,ES,Honda,250cc
